File 1,File 2,Tempo 1 (BPM),Tempo 2 (BPM),Tempo Difference,Tempo Variation Difference,Beat Consistency Difference
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000005.mp3,161.4990234375,99.38401442307692,62.11500901442308,0.0,0.02516851192913509
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000010.mp3,161.4990234375,112.34714673913044,49.15187669836956,0.0,0.007034342648758352
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000140.mp3,161.4990234375,107.666015625,53.8330078125,0.0,0.009876418057546847
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000141.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.021064990268857862
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000148.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.008489831854895647
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000182.mp3,161.4990234375,143.5546875,17.9443359375,0.0,0.007638269391163206
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000190.mp3,161.4990234375,103.359375,58.1396484375,0.0,0.027306620435315846
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000193.mp3,161.4990234375,95.703125,65.7958984375,0.0,0.014168095312843382
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000194.mp3,161.4990234375,103.359375,58.1396484375,0.0,0.01945864584673539
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000197.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.01890405804557083
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000200.mp3,161.4990234375,99.38401442307692,62.11500901442308,0.0,0.021352925668434972
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000203.mp3,161.4990234375,123.046875,38.4521484375,0.0,0.015254256723408088
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000204.mp3,161.4990234375,107.666015625,53.8330078125,0.0,0.026808849691531366
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000207.mp3,161.4990234375,123.046875,38.4521484375,0.0,0.022025249175474593
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000210.mp3,161.4990234375,95.703125,65.7958984375,0.0,0.02310701283104057
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000211.mp3,161.4990234375,99.38401442307692,62.11500901442308,0.0,0.014332285561559622
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000212.mp3,161.4990234375,99.38401442307692,62.11500901442308,0.0,0.009117874719132373
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000213.mp3,161.4990234375,143.5546875,17.9443359375,0.0,0.003906905969419644
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000255.mp3,161.4990234375,123.046875,38.4521484375,0.0,0.011344574162343146
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000256.mp3,161.4990234375,123.046875,38.4521484375,0.0,0.010738260498467437
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000368.mp3,161.4990234375,135.99917763157896,25.49984580592104,0.0,0.020499945498929664
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000424.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.028299433601784264
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000459.mp3,161.4990234375,95.703125,65.7958984375,0.0,0.007518158723562613
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000534.mp3,161.4990234375,143.5546875,17.9443359375,0.0,0.01096958181811239
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000540.mp3,161.4990234375,143.5546875,17.9443359375,0.0,0.017872860383151716
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000546.mp3,161.4990234375,103.359375,58.1396484375,0.0,0.006887268242022449
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000574.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.01664712430870797
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000602.mp3,161.4990234375,151.99908088235293,9.499942555147072,0.0,0.012597987340278335
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000615.mp3,161.4990234375,112.34714673913044,49.15187669836956,0.0,0.012654008911541375
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000620.mp3,161.4990234375,135.99917763157896,25.49984580592104,0.0,0.001431798736903819
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000621.mp3,161.4990234375,103.359375,58.1396484375,0.0,0.026633152152809963
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000625.mp3,161.4990234375,92.28515625,69.2138671875,0.0,0.030664106631565106
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000666.mp3,161.4990234375,129.19921875,32.2998046875,0.0,0.009624002213467805
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000667.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.015255603850137581
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000676.mp3,161.4990234375,95.703125,65.7958984375,0.0,0.03273037287389695
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000690.mp3,161.4990234375,135.99917763157896,25.49984580592104,0.0,0.016482241334125083
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000694.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.014864392076306951
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000695.mp3,161.4990234375,129.19921875,32.2998046875,0.0,0.0018985666867381897
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000704.mp3,161.4990234375,135.99917763157896,25.49984580592104,0.0,0.015903562534216084
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000705.mp3,161.4990234375,92.28515625,69.2138671875,0.0,0.023640207175546577
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000706.mp3,161.4990234375,112.34714673913044,49.15187669836956,0.0,0.0029092368090123024
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000707.mp3,161.4990234375,135.99917763157896,25.49984580592104,0.0,0.0005276786024022585
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000708.mp3,161.4990234375,129.19921875,32.2998046875,0.0,0.007172667514625867
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000709.mp3,161.4990234375,92.28515625,69.2138671875,0.0,0.011679761411478057
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000714.mp3,161.4990234375,123.046875,38.4521484375,0.0,0.01008128506489412
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000715.mp3,161.4990234375,135.99917763157896,25.49984580592104,0.0,0.012608082672834295
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000716.mp3,161.4990234375,117.45383522727273,44.045188210227266,0.0,0.013867148722422427
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000718.mp3,161.4990234375,129.19921875,32.2998046875,0.0,0.017005727647729244
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000777.mp3,161.4990234375,112.34714673913044,49.15187669836956,0.0,0.021476423921363976
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000814.mp3,161.4990234375,123.046875,38.4521484375,0.0,0.02434559469763802
./fma_small/fma_small/000\000002.mp3,./fma_small/fma_small/000\000821.mp3,161.4990234375,103.359375,58.1396484375,0.0,0.013178020951914959
